玛丽和马克思,2009,8.9,386990人评价
怪兽电力公司,2001,8.7,582217人评价
大鱼,2003,8.8,507263人评价
告白,2010,8.8,610990人评价
阳光姐妹淘,2011,8.8,542449人评价
射雕英雄传之东成西就,1993,8.7,566319人评价
教父3,1990,9.0,317894人评价
神偷奶爸,2010,8.6,848644人评价
傲慢与偏见,2005,8.7,693400人评价
玩具总动员3,2010,8.9,448117人评价
一个叫欧维的男人决定去死,2015,8.9,387562人评价
釜山行,2016,8.6,1051078人评价
恐怖直播,2013,8.7,575689人评价
被解救的姜戈,2012,8.8,533232人评价
哪吒闹海,1979,9.1,224744人评价
未麻的部屋,1997,9.0,267995人评价
寄生虫,2019,8.8,1210565人评价
血战钢锯岭,2016,8.7,701551人评价
头号玩家,2018,8.7,1213513人评价
我是山姆,2001,9.0,287377人评价
七武士,1954,9.3,170479人评价
哈利·波特与火焰杯,2005,8.7,540891人评价
新世界,2013,8.9,339910人评价
喜宴,1993,8.9,304548人评价
黑客帝国3：矩阵革命,2003,8.8,397121人评价
模仿游戏,2014,8.7,551274人评价
电锯惊魂,2004,8.7,462700人评价
花样年华,2000,8.7,517754人评价
卢旺达饭店,2004,8.9,284001人评价
三块广告牌,2017,8.7,731350人评价
上帝之城,2002,9.0,271038人评价
疯狂原始人,2013,8.7,755115人评价
头脑特工队,2015,8.8,528279人评价
你的名字。,2016,8.5,1224182人评价
风之谷,1984,8.9,322681人评价
谍影重重3,2007,8.8,373864人评价
达拉斯买家俱乐部,2013,8.8,398727人评价
英雄本色,1986,8.6,464549人评价
纵横四海,1991,8.8,366354人评价
心迷宫,2014,8.7,446381人评价
惊魂记,1960,9.0,236628人评价
岁月神偷,2010,8.7,527701人评价
记忆碎片,2000,8.7,540278人评价
海街日记,2015,8.8,382092人评价
忠犬八公物语,1987,9.2,169452人评价
九品芝麻官,1994,8.6,560999人评价
荒蛮故事,2014,8.8,387077人评价
爆裂鼓手,2014,8.7,504559人评价
真爱至上,2003,8.6,651962人评价
绿里奇迹,1999,8.9,276298人评价
贫民窟的百万富翁,2008,8.6,671094人评价
爱在午夜降临前,2013,8.8,328398人评价
东邪西毒,1994,8.6,518346人评价
小偷家族,2018,8.7,732451人评价
无敌破坏王,2012,8.7,470652人评价
冰川时代,2002,8.6,546966人评价
黑天鹅,2010,8.6,718913人评价
疯狂的石头,2006,8.5,716344人评价
你看起来好像很好吃,2010,8.9,296339人评价
色，戒,2007,8.6,644260人评价
恐怖游轮,2009,8.5,724264人评价
雨中曲,1952,9.1,186759人评价
雨人,1988,8.7,362233人评价
恋恋笔记本,2004,8.6,585734人评价
2001太空漫游,1968,8.9,269641人评价
萤火虫之墓,1988,8.7,371175人评价
魔女宅急便,1989,8.7,403640人评价
城市之光,1931,9.3,122897人评价
可可西里,2004,8.8,264107人评价
虎口脱险,1966,8.9,218819人评价
遗愿清单,2007,8.7,374100人评价
人工智能,2001,8.7,390276人评价
大佛普拉斯,2017,8.7,377774人评价
初恋这件小事,2010,8.4,894841人评价
海边的曼彻斯特,2016,8.6,434849人评价
牯岭街少年杀人事件,1991,8.9,240627人评价
二十二,2015,8.7,266723人评价
罗生门,1950,8.8,273592人评价
源代码,2011,8.5,739899人评价
终结者2：审判日,1991,8.8,304691人评价
无间道2,2003,8.7,390820人评价
奇迹男孩,2017,8.6,501024人评价
东京教父,2003,9.0,175362人评价
房间,2015,8.8,337407人评价
青蛇,1993,8.6,459471人评价
茶馆,1982(中国大陆),9.5,90531人评价
新龙门客栈,1992,8.6,390344人评价
疯狂的麦克斯4：狂暴之路,2015,8.6,463352人评价
魂断蓝桥,1940,8.8,245029人评价
无耻混蛋,2009,8.6,419249人评价
背靠背，脸对脸,1994,9.5,93317人评价
波西米亚狂想曲,2018,8.6,519239人评价
血钻,2006,8.7,329375人评价
步履不停,2008,8.8,241335人评价
黑客帝国2：重装上阵,2003,8.7,358657人评价
小丑,2019,8.7,883063人评价
彗星来的那一夜,2013,8.5,481675人评价
千钧一发,1997,8.8,246166人评价
